date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:01:04	169497/169497	---MCZ	200	added ('OK')	text/html	etag:cacheable:3c5b16dcf1c322abc6cb8bd206c77a23	https://art-furniture-1.myshopify.com/products/largest-water-pot	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/products/largest-water-pot.html	(from https://art-furniture-1.myshopify.com/)
00:01:06	7806/7806	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:05%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/18_3744c5fe-d4fd-4ffd-a3a2-765e0c7333ec_large.jpg?v=1522554454	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/18_3744c5fe-d4fd-4ffd-a3a2-765e0c7333ec_large4d1d.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:06	10412/10412	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20May%202018%2017:37:57%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/24_42fde455-60fd-41eb-8b23-635f64c02b0d_large.jpg?v=1522554455	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/24_42fde455-60fd-41eb-8b23-635f64c02b0d_large1808.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:09	10906/10906	---M--	200	added ('OK')	image/jpeg	date:Mon,%2007%20May%202018%2017:38:00%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/20_1dbcdee7-e455-413c-a10b-30780ab661d9_large.jpg?v=1522554485	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/20_1dbcdee7-e455-413c-a10b-30780ab661d9_large1101.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:11	183613/183613	---MCZ	200	added ('OK')	text/html	etag:cacheable:3da26d9825c2a507673ffc2daf85e4e1	https://art-furniture-1.myshopify.com/products/nemo-enim-ipsam	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/products/nemo-enim-ipsam.html	(from https://art-furniture-1.myshopify.com/)
00:01:12	10445/10445	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:10%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/21_ab342254-6f91-4edd-a314-8b329e17ddcc_large.jpg?v=1522554486	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/21_ab342254-6f91-4edd-a314-8b329e17ddcc_largea18d.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:17	203341/203341	---MCZ	200	added ('OK')	text/html	etag:cacheable:b5ab5e14be372e01177eb28f58b79f70	https://art-furniture-1.myshopify.com/products/product-dummy-name	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/products/product-dummy-name.html	(from https://art-furniture-1.myshopify.com/)
00:01:20	8717/8717	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:15%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/7_98a4f9b5-f11b-4e18-9258-acc38b3cf28b_large.jpg?v=1522554856	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/7_98a4f9b5-f11b-4e18-9258-acc38b3cf28b_large2451.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:21	16706/16706	---M--	200	added ('OK')	image/jpeg	date:Sat,%2012%20May%202018%2018:01:16%20GMT	http://cdn.shopify.com/s/files/1/0011/2918/5331/products/8_e1ecc4a7-2507-4f8c-ba94-55845397604d_large.jpg?v=1522554857	C:/Users/hhson/Desktop/Funnn/cdn.shopify.com/s/files/1/0011/2918/5331/products/8_e1ecc4a7-2507-4f8c-ba94-55845397604d_largee3bc.jpg	(from https://art-furniture-1.myshopify.com/)
00:01:23	164135/164135	---MCZ	200	added ('OK')	text/html	etag:cacheable:00bbd370a3d8efba30e40ec079f6714b	https://art-furniture-1.myshopify.com/products/hair-brush-box	C:/Users/hhson/Desktop/Funnn/art-furniture-1.myshopify.com/products/hair-brush-box.html	(from https://art-furniture-1.myshopify.com/)
